path,oclussion,type,img_path
C:\Users\isaac\PycharmProjects\high_quality_oclussion_aug\RandOcc\mask\10005.png,0.2645542585705343,RandOcc,C:\Users\isaac\PycharmProjects\high_quality_oclussion_aug\RandOcc\img\10005.jpg
C:\Users\isaac\PycharmProjects\high_quality_oclussion_aug\RandOcc\mask\10018.png,0.15704152071080346,RandOcc,C:\Users\isaac\PycharmProjects\high_quality_oclussion_aug\RandOcc\img\10018.jpg
C:\Users\isaac\PycharmProjects\high_quality_oclussion_aug\RandOcc\mask\10020.png,0.11000504377133336,RandOcc,C:\Users\isaac\PycharmProjects\high_quality_oclussion_aug\RandOcc\img\10020.jpg
C:\Users\isaac\PycharmProjects\high_quality_oclussion_aug\RandOcc\mask\10022.png,0.2740826668294768,RandOcc,C:\Users\isaac\PycharmProjects\high_quality_oclussion_aug\RandOcc\img\10022.jpg
C:\Users\isaac\PycharmProjects\high_quality_oclussion_aug\RandOcc\mask\10023.png,0.3840627691991205,RandOcc,C:\Users\isaac\PycharmProjects\high_quality_oclussion_aug\RandOcc\img\10023.jpg
C:\Users\isaac\PycharmProjects\high_quality_oclussion_aug\RandOcc\mask\10034.png,0.34582946148059646,RandOcc,C:\Users\isaac\PycharmProjects\high_quality_oclussion_aug\RandOcc\img\10034.jpg
C:\Users\isaac\PycharmProjects\high_quality_oclussion_aug\RandOcc\mask\10040.png,0.44865761947638017,RandOcc,C:\Users\isaac\PycharmProjects\high_quality_oclussion_aug\RandOcc\img\10040.jpg
C:\Users\isaac\PycharmProjects\high_quality_oclussion_aug\RandOcc\mask\10045.png,0.2537268386809489,RandOcc,C:\Users\isaac\PycharmProjects\high_quality_oclussion_aug\RandOcc\img\10045.jpg
C:\Users\isaac\PycharmProjects\high_quality_oclussion_aug\RandOcc\mask\10050.png,0.4781624184182126,RandOcc,C:\Users\isaac\PycharmProjects\high_quality_oclussion_aug\RandOcc\img\10050.jpg
C:\Users\isaac\PycharmProjects\high_quality_oclussion_aug\RandOcc\mask\10056.png,0.12428013886328337,RandOcc,C:\Users\isaac\PycharmProjects\high_quality_oclussion_aug\RandOcc\img\10056.jpg
C:\Users\isaac\PycharmProjects\high_quality_oclussion_aug\RandOcc\mask\1006.png,0.3090715707129623,RandOcc,C:\Users\isaac\PycharmProjects\high_quality_oclussion_aug\RandOcc\img\1006.jpg
C:\Users\isaac\PycharmProjects\high_quality_oclussion_aug\RandOcc\mask\10077.png,0.07633914252111618,RandOcc,C:\Users\isaac\PycharmProjects\high_quality_oclussion_aug\RandOcc\img\10077.jpg
C:\Users\isaac\PycharmProjects\high_quality_oclussion_aug\RandOcc\mask\1009.png,0.25506432582273086,RandOcc,C:\Users\isaac\PycharmProjects\high_quality_oclussion_aug\RandOcc\img\1009.jpg
C:\Users\isaac\PycharmProjects\high_quality_oclussion_aug\RandOcc\mask\10091.png,0.12346967242137796,RandOcc,C:\Users\isaac\PycharmProjects\high_quality_oclussion_aug\RandOcc\img\10091.jpg
C:\Users\isaac\PycharmProjects\high_quality_oclussion_aug\RandOcc\mask\10116.png,0.4843966712898752,RandOcc,C:\Users\isaac\PycharmProjects\high_quality_oclussion_aug\RandOcc\img\10116.jpg
C:\Users\isaac\PycharmProjects\high_quality_oclussion_aug\RandOcc\mask\10125.png,0.1882280091558559,RandOcc,C:\Users\isaac\PycharmProjects\high_quality_oclussion_aug\RandOcc\img\10125.jpg
C:\Users\isaac\PycharmProjects\high_quality_oclussion_aug\RandOcc\mask\10126.png,0.3347217195362576,RandOcc,C:\Users\isaac\PycharmProjects\high_quality_oclussion_aug\RandOcc\img\10126.jpg
C:\Users\isaac\PycharmProjects\high_quality_oclussion_aug\RandOcc\mask\10136.png,0.36970916407536125,RandOcc,C:\Users\isaac\PycharmProjects\high_quality_oclussion_aug\RandOcc\img\10136.jpg
C:\Users\isaac\PycharmProjects\high_quality_oclussion_aug\RandOcc\mask\10161.png,0.5483925670026659,RandOcc,C:\Users\isaac\PycharmProjects\high_quality_oclussion_aug\RandOcc\img\10161.jpg
C:\Users\isaac\PycharmProjects\high_quality_oclussion_aug\RandOcc\mask\10170.png,0.5634699432810246,RandOcc,C:\Users\isaac\PycharmProjects\high_quality_oclussion_aug\RandOcc\img\10170.jpg
C:\Users\isaac\PycharmProjects\high_quality_oclussion_aug\RandOcc\mask\10223.png,0.23823839045502393,RandOcc,C:\Users\isaac\PycharmProjects\high_quality_oclussion_aug\RandOcc\img\10223.jpg
C:\Users\isaac\PycharmProjects\high_quality_oclussion_aug\RandOcc\mask\10229.png,0.46652558022003654,RandOcc,C:\Users\isaac\PycharmProjects\high_quality_oclussion_aug\RandOcc\img\10229.jpg
C:\Users\isaac\PycharmProjects\high_quality_oclussion_aug\RandOcc\mask\1023.png,0.2051912606159686,RandOcc,C:\Users\isaac\PycharmProjects\high_quality_oclussion_aug\RandOcc\img\1023.jpg
C:\Users\isaac\PycharmProjects\high_quality_oclussion_aug\RandOcc\mask\10250.png,0.34978854159783257,RandOcc,C:\Users\isaac\PycharmProjects\high_quality_oclussion_aug\RandOcc\img\10250.jpg
C:\Users\isaac\PycharmProjects\high_quality_oclussion_aug\RandOcc\mask\10263.png,0.31967740015475266,RandOcc,C:\Users\isaac\PycharmProjects\high_quality_oclussion_aug\RandOcc\img\10263.jpg
C:\Users\isaac\PycharmProjects\high_quality_oclussion_aug\RandOcc\mask\10266.png,0.3492234141423688,RandOcc,C:\Users\isaac\PycharmProjects\high_quality_oclussion_aug\RandOcc\img\10266.jpg
C:\Users\isaac\PycharmProjects\high_quality_oclussion_aug\RandOcc\mask\10267.png,0.16828629220924118,RandOcc,C:\Users\isaac\PycharmProjects\high_quality_oclussion_aug\RandOcc\img\10267.jpg
C:\Users\isaac\PycharmProjects\high_quality_oclussion_aug\RandOcc\mask\10276.png,0.08086047392339324,RandOcc,C:\Users\isaac\PycharmProjects\high_quality_oclussion_aug\RandOcc\img\10276.jpg
C:\Users\isaac\PycharmProjects\high_quality_oclussion_aug\RandOcc\mask\10291.png,0.38896664625535793,RandOcc,C:\Users\isaac\PycharmProjects\high_quality_oclussion_aug\RandOcc\img\10291.jpg
C:\Users\isaac\PycharmProjects\high_quality_oclussion_aug\RandOcc\mask\1032.png,0.35672850762440866,RandOcc,C:\Users\isaac\PycharmProjects\high_quality_oclussion_aug\RandOcc\img\1032.jpg
C:\Users\isaac\PycharmProjects\high_quality_oclussion_aug\RandOcc\mask\10327.png,0.17351910653673497,RandOcc,C:\Users\isaac\PycharmProjects\high_quality_oclussion_aug\RandOcc\img\10327.jpg
C:\Users\isaac\PycharmProjects\high_quality_oclussion_aug\RandOcc\mask\10341.png,0.3023313741671867,RandOcc,C:\Users\isaac\PycharmProjects\high_quality_oclussion_aug\RandOcc\img\10341.jpg
C:\Users\isaac\PycharmProjects\high_quality_oclussion_aug\RandOcc\mask\10342.png,0.19341170953912112,RandOcc,C:\Users\isaac\PycharmProjects\high_quality_oclussion_aug\RandOcc\img\10342.jpg
C:\Users\isaac\PycharmProjects\high_quality_oclussion_aug\RandOcc\mask\10343.png,0.1712868152633089,RandOcc,C:\Users\isaac\PycharmProjects\high_quality_oclussion_aug\RandOcc\img\10343.jpg
C:\Users\isaac\PycharmProjects\high_quality_oclussion_aug\RandOcc\mask\10352.png,0.2589455362006883,RandOcc,C:\Users\isaac\PycharmProjects\high_quality_oclussion_aug\RandOcc\img\10352.jpg
C:\Users\isaac\PycharmProjects\high_quality_oclussion_aug\RandOcc\mask\1037.png,0.24936979823126837,RandOcc,C:\Users\isaac\PycharmProjects\high_quality_oclussion_aug\RandOcc\img\1037.jpg
C:\Users\isaac\PycharmProjects\high_quality_oclussion_aug\RandOcc\mask\10370.png,0.3073018470120572,RandOcc,C:\Users\isaac\PycharmProjects\high_quality_oclussion_aug\RandOcc\img\10370.jpg
C:\Users\isaac\PycharmProjects\high_quality_oclussion_aug\RandOcc\mask\10385.png,0.19405530075039756,RandOcc,C:\Users\isaac\PycharmProjects\high_quality_oclussion_aug\RandOcc\img\10385.jpg
C:\Users\isaac\PycharmProjects\high_quality_oclussion_aug\RandOcc\mask\10393.png,0.28825442360243836,RandOcc,C:\Users\isaac\PycharmProjects\high_quality_oclussion_aug\RandOcc\img\10393.jpg
C:\Users\isaac\PycharmProjects\high_quality_oclussion_aug\RandOcc\mask\10397.png,0.10171270818576439,RandOcc,C:\Users\isaac\PycharmProjects\high_quality_oclussion_aug\RandOcc\img\10397.jpg
C:\Users\isaac\PycharmProjects\high_quality_oclussion_aug\RandOcc\mask\104.png,0.04487125267342529,RandOcc,C:\Users\isaac\PycharmProjects\high_quality_oclussion_aug\RandOcc\img\104.jpg
C:\Users\isaac\PycharmProjects\high_quality_oclussion_aug\RandOcc\mask\10403.png,0.41510888540591506,RandOcc,C:\Users\isaac\PycharmProjects\high_quality_oclussion_aug\RandOcc\img\10403.jpg
C:\Users\isaac\PycharmProjects\high_quality_oclussion_aug\RandOcc\mask\10410.png,0.2872562627174602,RandOcc,C:\Users\isaac\PycharmProjects\high_quality_oclussion_aug\RandOcc\img\10410.jpg
C:\Users\isaac\PycharmProjects\high_quality_oclussion_aug\RandOcc\mask\10422.png,0.5069623122350462,RandOcc,C:\Users\isaac\PycharmProjects\high_quality_oclussion_aug\RandOcc\img\10422.jpg
C:\Users\isaac\PycharmProjects\high_quality_oclussion_aug\RandOcc\mask\10432.png,0.2700848528615274,RandOcc,C:\Users\isaac\PycharmProjects\high_quality_oclussion_aug\RandOcc\img\10432.jpg
C:\Users\isaac\PycharmProjects\high_quality_oclussion_aug\RandOcc\mask\10440.png,0.3123623386963146,RandOcc,C:\Users\isaac\PycharmProjects\high_quality_oclussion_aug\RandOcc\img\10440.jpg
C:\Users\isaac\PycharmProjects\high_quality_oclussion_aug\RandOcc\mask\10460.png,0.18409849456083693,RandOcc,C:\Users\isaac\PycharmProjects\high_quality_oclussion_aug\RandOcc\img\10460.jpg
C:\Users\isaac\PycharmProjects\high_quality_oclussion_aug\RandOcc\mask\10485.png,0.012036277235483617,RandOcc,C:\Users\isaac\PycharmProjects\high_quality_oclussion_aug\RandOcc\img\10485.jpg
C:\Users\isaac\PycharmProjects\high_quality_oclussion_aug\RandOcc\mask\1049.png,0.16059715188797874,RandOcc,C:\Users\isaac\PycharmProjects\high_quality_oclussion_aug\RandOcc\img\1049.jpg
C:\Users\isaac\PycharmProjects\high_quality_oclussion_aug\RandOcc\mask\10496.png,0.22111674286514782,RandOcc,C:\Users\isaac\PycharmProjects\high_quality_oclussion_aug\RandOcc\img\10496.jpg
C:\Users\isaac\PycharmProjects\high_quality_oclussion_aug\RandOcc\mask\10497.png,0.4660657991584152,RandOcc,C:\Users\isaac\PycharmProjects\high_quality_oclussion_aug\RandOcc\img\10497.jpg
C:\Users\isaac\PycharmProjects\high_quality_oclussion_aug\RandOcc\mask\10512.png,0.0566676001476597,RandOcc,C:\Users\isaac\PycharmProjects\high_quality_oclussion_aug\RandOcc\img\10512.jpg
C:\Users\isaac\PycharmProjects\high_quality_oclussion_aug\RandOcc\mask\10539.png,0.6541358300124629,RandOcc,C:\Users\isaac\PycharmProjects\high_quality_oclussion_aug\RandOcc\img\10539.jpg
C:\Users\isaac\PycharmProjects\high_quality_oclussion_aug\RandOcc\mask\10544.png,0.4151198880233691,RandOcc,C:\Users\isaac\PycharmProjects\high_quality_oclussion_aug\RandOcc\img\10544.jpg
